osm_id,code,fclass,name,Latitude,Longitude
5274201067,5601,railway_station,Hindu College,13° 07' 6.54"" N,080° 04' 27.95"" E
5274212914,5601,railway_station,Pattabiram E Depot,13° 08' 45.65"" N,080° 04' 7.03"" E
5274260962,5601,railway_station,Guduvancheri,12° 50' 42.83"" N,080° 03' 27.54"" E
5274698920,5601,railway_station,Karunguzhi,12° 31' 55.58"" N,079° 54' 41.46"" E
5274761658,5601,railway_station,Korukkupet,13° 07' 9.93"" N,080° 16' 42.44"" E
5274761659,5601,railway_station,Korattur,13° 06' 47.31"" N,080° 11' 2.95"" E
5274891872,5601,railway_station,Karasangal,12° 20' 5.27"" N,079° 45' 1.85"" E
5274913769,5601,railway_station,Kotturpuram,13° 00' 49.39"" N,080° 14' 54.43"" E
5274913770,5601,railway_station,Latteri,12° 58' 1.35"" N,079° 03' 58.46"" E
5275671388,5601,railway_station,Manavur,13° 05' 46.94"" N,079° 48' 4.53"" E
5275671389,5601,railway_station,Mahendravadi,13° 01' 19.64"" N,079° 31' 2.81"" E
5275675165,5601,railway_station,Melattur,12° 55' 4.36"" N,078° 52' 30.94"" E
5275790188,5601,railway_station,Chennai Egmore,13° 04' 39.9"" N,080° 15' 40.53"" E
5275810573,5601,railway_station,Mailam,12° 09' 36.93"" N,079° 36' 7.7"" E
5276145853,5601,railway_station,Olakur,12° 18' 17.77"" N,079° 43' 15.37"" E
5276187591,5601,railway_station,Perambur Carriage Works,13° 06' 26.21"" N,080° 14' 19.99"" E
5276187592,5601,railway_station,Perani,12° 06' 10.36"" N,079° 33' 8.08"" E
5276205560,5601,railway_station,Perambur,13° 06' 27.79"" N,080° 14' 39.89"" E
5276214842,5601,railway_station,Perambur Loco Works,13° 06' 30.59"" N,080° 13' 34.38"" E
5276343417,5601,railway_station,Ponpadi,13° 14' 21.61"" N,079° 35' 20.16"" E
5286945821,5601,railway_station,Sevur,12° 58' 18.48"" N,079° 11' 24.37"" E
5286945822,5601,railway_station,Tambaram,12° 55' 32.85"" N,080° 07' 4.51"" E
5286998285,5601,railway_station,Tiruvalam,12° 58' 30.02"" N,079° 14' 45.28"" E
5286998286,5601,railway_station,Tiruninravur,13° 07' 26.38"" N,080° 01' 47.08"" E
5286998287,5601,railway_station,Tiruttani,13° 10' 45.46"" N,079° 36' 43.85"" E
5286998289,5601,railway_station,Thalangai,13° 00' 30.95"" N,079° 26' 49.34"" E
5287023929,5601,railway_station,Tozhuppedu,12° 22' 8.09"" N,079° 47' 5.05"" E
5287023932,5601,railway_station,Vyasarpadi Jeeva,13° 06' 33.11"" N,080° 15' 25.99"" E
5287054300,5601,railway_station,Valathoor,12° 53' 22.87"" N,078° 50' 22.83"" E
5287054303,5601,railway_station,Vikravandi,12° 02' 43.85"" N,079° 32' 33.72"" E
5300488135,5601,railway_station,Ambur,12° 47' 2.64"" N,078° 43' 18.43"" E
5300620013,5601,railway_station,Serndanur,11° 52' 13.49"" N,079° 31' 3.0"" E
5300620014,5601,railway_station,Thiruthuraiyur,11° 49' 27.16"" N,079° 32' 5.63"" E
5300620015,5601,railway_station,Panruti,11° 46' 23.17"" N,079° 33' 17.04"" E
5300620016,5601,railway_station,Melpattambakkam,11° 47' 7.43"" N,079° 37' 27.61"" E
5300620018,5601,railway_station,Nellikuppam,11° 46' 25.35"" N,079° 40' 11.72"" E
5300620020,5601,railway_station,Tiruppadirippuliyur,11° 44' 53.54"" N,079° 45' 14.6"" E
5300621421,5601,railway_station,Cuddalore Port Junction,11° 42' 57.42"" N,079° 46' 1.39"" E
5300664749,5601,railway_station,Parangipettai,11° 28' 37.37"" N,079° 44' 12.65"" E
